h3_index,flood_area_km2,month,quality,tower_count
876ac6472ffffff,,,,0
8796d2ce1ffffff,,,,0
876ac4610ffffff,,,,0
876ac6a91ffffff,,,,0
876adc82dffffff,,,,0
876ac27aeffffff,,,,0
876ac261affffff,,,,0
876ac094cffffff,,,,0
8796d0cebffffff,,,,0
8796d2b4dffffff,,,,0
876ade823ffffff,0.06999999999997089,2025-09,valid,0
876ac62deffffff,,,,0
8796d6811ffffff,,,,0
876ac0005ffffff,,,,0
876ac6c25ffffff,,,,0
8796d3494ffffff,,,,0
876ae3a02ffffff,,,,1
8796d239affffff,,,,0
876ac5b2bffffff,,,,0
876ad192affffff,,,,0
876af1663ffffff,,,,0
8796d605effffff,,,,0
876ad378cffffff,,,,0
876ac2d63ffffff,,,,0
8796d3296ffffff,,,,0
876ac074effffff,,,,0
876ac25b0ffffff,,,,0
876ae22e9ffffff,,,,0
8796d0c81ffffff,,,,0
876ac4412ffffff,,,,0
876af10aeffffff,,,,0
876ad1375ffffff,,,,0
8796d2ae3ffffff,,,,0
876ac5576ffffff,,,,0
876ad0211ffffff,,,,0
876ac6274ffffff,,,,0
8796d04ceffffff,,,,0
8796d2330ffffff,,,,0
876ac5ac1ffffff,,,,0
876ad18c0ffffff,,,,0
876ad3722ffffff,,,,0
876ad398affffff,,,,0
8796d625cffffff,,,,0
876ad1b28ffffff,,,,0
876ac5d29ffffff,,,,0
8796d2598ffffff,,,,0
876ad110dffffff,,,,0
8796d0736ffffff,,,,0
876aded6effffff,,,,0
876ac4b5bffffff,,,,0
876ac2065ffffff,,,,0
876ac06e4ffffff,,,,0
876ac2546ffffff,,,,0
876ac43a8ffffff,,,,0
876ad22dbffffff,,,,0
876ac64dcffffff,,,,0
876ac620affffff,,,,0
8796d2d4bffffff,,,,0
876ada416ffffff,,,,0
8796d0464ffffff,,,,0
876ac2818ffffff,,,,0
8796d22c6ffffff,,,,0
876ad1856ffffff,,,,0
876ac09b6ffffff,,,,0
876ade88dffffff,,,,0
876ad10a3ffffff,,,,0
8796d3975ffffff,,,,0
876aded04ffffff,,,,0
876ac4af1ffffff,,,,0
876ac6953ffffff,,,,0
876ade551ffffff,,,,0
876ac24dcffffff,,,,0
876ac61a0ffffff,,,,0
876af1cd8ffffff,,,,0
8796d66d3ffffff,,,,0
876ad3241ffffff,,,,0
8796d225cffffff,,,,0
8796d3cb1ffffff,,,,0
876af1525ffffff,,,,0
876ad364effffff,,,,0
8796d390bffffff,,,,0
876adec9affffff,,,,0
876ac2c25ffffff,,,,0
8796d3158ffffff,,,,0
876ac68e9ffffff,,,,0
876ad26e8ffffff,,,,0
8796d62c6ffffff,,,,0
876ac0610ffffff,,,,0
876ac2472ffffff,,,,0
876ad1b92ffffff,,,,0
876ac5d93ffffff,,,,0
8796d2602ffffff,,,,0
876ac42d4ffffff,,,,0
8796d29a5ffffff,,,,0
8796d07a0ffffff,,,,0
876ad00d3ffffff,,,,0
876ac6136ffffff,,,,0
